Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
2000-12-26,Arsenal,Leicester,6,1,H,1,0,H,27,2,15,2,14,0,14,11,0,0,0,0
2000-12-26,Aston Villa,Man United,0,1,A,0,0,D,6,14,3,3,2,4,15,16,1,2,0,0
2000-12-26,Bradford,Sunderland,1,4,A,0,1,A,11,16,3,11,9,8,17,17,2,0,0,0
2000-12-26,Everton,Coventry,1,2,A,0,0,D,17,10,9,5,5,2,14,16,2,1,0,0
2000-12-26,Ipswich,Chelsea,2,2,D,1,2,A,19,7,13,4,8,2,5,9,0,4,0,0
2000-12-26,Man City,Derby,0,0,D,0,0,D,15,14,7,3,7,7,15,14,2,2,0,0
2000-12-26,Middlesbrough,Liverpool,1,0,H,1,0,H,7,11,2,5,2,6,7,9,2,2,0,0
2000-12-26,Newcastle,Leeds,2,1,H,2,1,H,13,8,4,5,7,2,23,17,4,2,0,0
2000-12-26,West Ham,Charlton,5,0,H,3,0,H,17,12,10,8,5,8,19,11,1,0,0,0
2000-12-27,Southampton,Tottenham,2,0,H,2,0,H,17,7,6,2,4,4,17,13,1,3,0,0
2000-12-30,Arsenal,Sunderland,2,2,D,2,0,H,17,14,9,7,11,1,14,18,0,3,0,0
2000-12-30,Ipswich,Tottenham,3,0,H,1,0,H,18,6,9,3,10,5,13,17,0,0,0,0
2000-12-30,Man City,Charlton,1,4,A,0,2,A,8,13,1,8,7,4,11,14,1,2,0,0
2000-12-30,Middlesbrough,Coventry,1,1,D,0,1,A,14,9,6,3,4,3,9,16,1,3,0,0
2000-12-30,Newcastle,Man United,1,1,D,0,1,A,14,8,4,6,6,3,13,10,2,3,0,0
2000-12-30,Southampton,Derby,1,0,H,0,0,D,10,9,5,5,7,6,17,10,0,2,0,0
2001-01-01,Charlton,Arsenal,1,0,H,1,0,H,9,10,4,5,6,12,15,12,1,1,0,0
2001-01-01,Chelsea,Aston Villa,1,0,H,1,0,H,13,7,5,3,2,5,15,19,0,1,0,0
2001-01-01,Coventry,Man City,1,1,D,0,0,D,19,10,9,5,12,8,16,15,1,2,0,0
2001-01-01,Derby,Everton,1,0,H,1,0,H,7,9,3,6,5,11,9,18,2,3,0,0
2001-01-01,Leeds,Middlesbrough,1,1,D,0,1,A,16,5,5,3,5,1,14,15,2,3,0,0
2001-01-01,Leicester,Bradford,1,2,A,1,2,A,9,8,3,4,5,3,11,14,0,3,0,0
2001-01-01,Liverpool,Southampton,2,1,H,1,1,D,16,7,8,3,15,2,8,5,0,1,0,0
2001-01-01,Man United,West Ham,3,1,H,2,0,H,25,9,12,5,8,2,17,13,1,2,0,0
2001-01-01,Sunderland,Ipswich,4,1,H,1,1,D,16,9,9,3,4,3,15,10,1,5,0,0
2001-01-02,Tottenham,Newcastle,4,2,H,3,1,H,16,9,10,4,9,6,11,10,0,2,1,2
2001-01-13,Arsenal,Chelsea,1,1,D,1,0,H,15,12,8,8,10,3,13,15,1,4,0,0
2001-01-13,Aston Villa,Liverpool,0,3,A,0,2,A,5,12,1,6,1,4,7,10,2,0,0,0
2001-01-13,Bradford,Man United,0,3,A,0,0,D,9,20,3,11,1,9,11,11,1,0,0,0
2001-01-13,Everton,Tottenham,0,0,D,0,0,D,17,4,8,1,9,0,11,15,1,0,0,0
2001-01-13,Man City,Leeds,0,4,A,0,1,A,5,10,3,6,4,5,23,17,5,3,0,0
2001-01-13,Middlesbrough,Derby,4,0,H,1,0,H,13,6,8,3,4,5,8,14,0,4,0,0
2001-01-13,Newcastle,Coventry,3,1,H,1,0,H,11,12,6,5,2,7,6,9,0,3,0,0
2001-01-13,Southampton,Charlton,0,0,D,0,0,D,17,10,6,4,9,3,8,12,0,0,0,0
2001-01-13,West Ham,Sunderland,0,2,A,0,1,A,13,7,6,5,9,6,20,21,4,2,0,0
2001-01-14,Ipswich,Leicester,2,0,H,0,0,D,22,6,9,3,8,1,14,10,1,1,0,0
2001-01-20,Chelsea,Ipswich,4,1,H,1,1,D,23,5,10,2,11,1,11,12,3,0,0,1
2001-01-20,Coventry,Everton,1,3,A,0,3,A,9,8,5,4,15,3,9,22,0,1,0,0
2001-01-20,Derby,Man City,1,1,D,0,0,D,9,10,3,4,5,4,17,22,2,2,0,0
2001-01-20,Leeds,Newcastle,1,3,A,1,2,A,12,11,5,7,16,1,12,18,2,1,0,0
2001-01-20,Leicester,Arsenal,0,0,D,0,0,D,3,13,0,4,1,9,6,8,2,2,1,0
2001-01-20,Liverpool,Middlesbrough,0,0,D,0,0,D,22,4,7,2,7,3,9,10,1,1,0,0
2001-01-20,Man United,Aston Villa,2,0,H,0,0,D,12,5,7,3,7,3,10,19,1,2,0,0
2001-01-20,Tottenham,Southampton,0,0,D,0,0,D,9,9,4,6,6,0,10,15,0,1,0,0
2001-01-21,Sunderland,Bradford,0,0,D,0,0,D,14,7,6,3,8,7,10,13,0,1,0,0
2001-01-22,Charlton,West Ham,1,1,D,1,0,H,9,18,3,3,0,5,11,8,0,1,0,0
2001-01-24,Aston Villa,Leeds,1,2,A,1,1,D,12,7,4,3,5,3,11,10,2,0,0,0
2001-01-30,Arsenal,Bradford,2,0,H,2,0,H,20,6,8,2,6,3,12,14,1,2,0,0
2001-01-30,Charlton,Derby,2,1,H,1,1,D,13,6,9,3,9,3,13,14,2,1,0,0
2001-01-31,Chelsea,Newcastle,3,1,H,1,1,D,14,4,4,2,7,2,12,19,1,3,0,0
2001-01-31,Everton,Middlesbrough,2,2,D,0,1,A,17,6,8,3,9,1,17,12,1,5,0,0
2001-01-31,Leeds,Coventry,1,0,H,0,0,D,11,3,6,1,9,2,18,19,4,5,0,0
2001-01-31,Man City,Liverpool,1,1,D,0,1,A,4,16,2,3,5,11,17,13,1,1,0,0
2001-01-31,Southampton,Leicester,1,0,H,0,0,D,10,6,5,3,3,3,14,12,0,3,0,0
2001-01-31,Sunderland,Man United,0,1,A,0,0,D,9,13,2,7,3,2,15,13,2,0,2,1
2001-01-31,West Ham,Tottenham,0,0,D,0,0,D,17,14,6,6,9,4,9,16,1,1,0,0
2001-02-03,Bradford,Aston Villa,0,3,A,0,0,D,9,13,2,6,3,4,14,14,2,0,0,0
2001-02-03,Coventry,Arsenal,0,1,A,0,0,D,12,8,4,6,3,7,13,14,3,4,0,0
2001-02-03,Derby,Sunderland,1,0,H,1,0,H,9,17,3,5,3,4,16,18,7,3,0,0
2001-02-03,Ipswich,Leeds,1,2,A,0,2,A,11,10,6,3,3,4,10,15,1,2,1,0
2001-02-03,Leicester,Chelsea,2,1,H,1,0,H,10,8,5,4,2,7,7,13,0,1,0,0
2001-02-03,Liverpool,West Ham,3,0,H,2,0,H,14,8,10,3,5,3,9,6,0,1,0,1
2001-02-03,Man United,Everton,1,0,H,0,0,D,8,5,1,1,2,5,8,11,0,2,0,0
2001-02-03,Middlesbrough,Man City,1,1,D,0,1,A,14,6,6,3,4,2,12,14,0,2,1,0
2001-02-03,Tottenham,Charlton,0,0,D,0,0,D,9,7,3,2,2,3,17,14,2,0,0,0
2001-02-07,Everton,Leeds,2,2,D,1,0,H,7,9,4,5,4,7,18,18,2,1,0,0
2001-02-10,Arsenal,Ipswich,1,0,H,0,0,D,17,5,10,3,11,3,16,15,2,1,0,0
2001-02-10,Aston Villa,Middlesbrough,1,1,D,1,0,H,15,6,4,3,7,4,11,11,1,1,0,0
2001-02-10,Chelsea,Man United,1,1,D,1,0,H,8,16,4,6,3,8,16,12,0,2,0,0
2001-02-10,Everton,Leicester,2,1,H,2,0,H,9,9,6,2,7,2,12,7,3,2,0,0
2001-02-10,Leeds,Derby,0,0,D,0,0,D,12,3,6,2,17,4,11,17,2,5,0,0
2001-02-10,Man City,Tottenham,0,1,A,0,0,D,11,11,4,4,7,3,17,10,1,0,0,0
2001-02-10,Southampton,Bradford,2,0,H,0,0,D,12,4,6,1,8,0,9,16,0,1,0,0
2001-02-10,Sunderland,Liverpool,1,1,D,0,0,D,9,8,6,4,9,6,15,25,5,3,0,0
2001-02-11,Charlton,Newcastle,2,0,H,2,0,H,11,5,4,3,4,11,10,12,2,1,0,0
2001-02-12,West Ham,Coventry,1,1,D,0,0,D,21,13,9,4,5,4,13,16,2,5,0,0
2001-02-24,Bradford,West Ham,1,2,A,0,1,A,15,11,5,5,7,1,9,10,1,2,0,0
2001-02-24,Coventry,Charlton,2,2,D,1,1,D,17,15,7,7,3,7,15,11,0,0,0,0
2001-02-24,Derby,Aston Villa,1,0,H,1,0,H,9,19,5,7,1,9,9,10,1,1,0,0
2001-02-24,Ipswich,Everton,2,0,H,0,0,D,12,8,6,2,3,2,11,14,1,2,0,1
2001-02-24,Leicester,Sunderland,2,0,H,1,0,H,11,9,7,3,6,5,13,16,0,4,0,1
2001-02-24,Middlesbrough,Southampton,0,1,A,0,0,D,11,10,6,5,3,6,9,9,1,0,0,0
2001-02-24,Newcastle,Man City,0,1,A,0,0,D,10,11,3,3,5,5,18,11,1,0,0,0
2001-02-24,Tottenham,Leeds,1,2,A,1,1,D,13,15,4,9,5,12,16,14,2,1,0,0
2001-02-25,Man United,Arsenal,6,1,H,5,1,H,16,6,9,2,3,3,10,6,0,0,0,0
2001-03-03,Arsenal,West Ham,3,0,H,3,0,H,16,4,6,2,5,6,19,12,2,3,0,0
2001-03-03,Coventry,Chelsea,0,0,D,0,0,D,17,24,10,11,5,8,13,15,2,2,0,0
2001-03-03,Derby,Tottenham,2,1,H,2,0,H,8,13,4,7,6,7,20,12,2,3,0,0
2001-03-03,Everton,Newcastle,1,1,D,0,0,D,16,4,6,2,4,1,13,12,1,2,0,0
2001-03-03,Leeds,Man United,1,1,D,0,0,D,18,5,10,5,14,3,25,21,3,5,0,0
2001-03-03,Leicester,Liverpool,2,0,H,0,0,D,9,8,7,3,4,7,9,7,1,1,0,0
2001-03-03,Man City,Southampton,0,1,A,0,0,D,15,6,7,1,5,6,15,15,1,1,0,0
2001-03-03,Middlesbrough,Charlton,0,0,D,0,0,D,8,11,2,8,4,5,13,12,1,1,0,0
2001-03-04,Ipswich,Bradford,3,1,H,0,1,A,21,7,8,5,7,2,13,14,0,4,0,0
2001-03-05,Sunderland,Aston Villa,1,1,D,0,0,D,18,6,12,2,5,3,17,18,1,2,0,0
2001-03-07,West Ham,Chelsea,0,2,A,0,2,A,7,17,2,6,1,0,12,9,2,2,0,0
2001-03-10,Aston Villa,Ipswich,2,1,H,0,1,A,9,8,5,3,6,2,15,11,1,1,0,0
2001-03-17,Bradford,Man City,2,2,D,0,1,A,16,10,7,3,3,3,13,12,2,1,0,0
2001-03-17,Charlton,Leeds,1,2,A,1,1,D,7,7,3,5,2,5,19,13,3,5,0,0
2001-03-17,Chelsea,Sunderland,2,4,A,2,1,H,14,11,6,7,4,5,15,26,0,0,0,0
2001-03-17,Man United,Leicester,2,0,H,0,0,D,19,5,8,2,14,2,11,13,1,1,0,0
2001-03-17,Newcastle,Middlesbrough,1,2,A,0,2,A,16,7,5,4,5,1,14,19,0,3,0,1
2001-03-17,Southampton,Everton,1,0,H,0,0,D,17,5,5,1,6,6,13,18,1,1,0,0
2001-03-17,Tottenham,Coventry,3,0,H,2,0,H,12,11,4,5,5,8,13,10,0,1,0,0
2001-03-17,West Ham,Ipswich,0,1,A,0,0,D,5,13,2,5,4,5,14,8,0,0,0,0
2001-03-18,Aston Villa,Arsenal,0,0,D,0,0,D,4,14,2,5,3,3,16,13,2,2,0,1
2001-03-18,Liverpool,Derby,1,1,D,0,1,A,18,7,8,4,9,3,11,9,2,2,0,0
2001-03-31,Arsenal,Tottenham,2,0,H,0,0,D,25,4,19,3,12,2,5,6,0,1,0,0
2001-03-31,Bradford,Newcastle,2,2,D,2,1,H,22,14,8,7,10,8,17,23,0,1,0,0
2001-03-31,Chelsea,Middlesbrough,2,1,H,1,0,H,17,7,5,3,4,3,19,10,2,1,0,0
2001-03-31,Coventry,Derby,2,0,H,1,0,H,12,14,7,8,9,4,12,16,0,1,1,0
2001-03-31,Liverpool,Man United,2,0,H,2,0,H,15,9,6,3,6,4,8,8,1,1,1,0
2001-03-31,Man City,Aston Villa,1,3,A,1,2,A,12,8,6,7,9,2,18,13,6,4,1,0
2001-03-31,Sunderland,Leeds,0,2,A,0,1,A,14,7,8,4,8,4,17,10,2,2,0,1
2001-03-31,West Ham,Everton,0,2,A,0,1,A,17,10,6,7,8,2,16,16,3,2,1,0
2001-04-01,Charlton,Leicester,2,0,H,1,0,H,16,5,9,1,6,2,12,9,2,2,0,0
2001-04-02,Southampton,Ipswich,0,3,A,0,1,A,11,11,3,5,6,7,17,15,2,1,0,0
2001-04-04,Aston Villa,Leicester,2,1,H,1,1,D,9,6,5,2,10,3,11,12,2,2,0,0
2001-04-07,Aston Villa,West Ham,2,2,D,0,0,D,6,7,4,5,5,3,5,3,1,3,0,0
2001-04-07,Derby,Chelsea,0,4,A,0,0,D,3,10,2,7,1,9,13,7,1,1,0,0
2001-04-07,Leeds,Southampton,2,0,H,1,0,H,15,6,7,2,10,1,10,11,0,0,0,0
2001-04-07,Leicester,Coventry,1,3,A,1,2,A,9,15,4,5,4,9,9,19,3,2,0,0
2001-04-08,Everton,Man City,3,1,H,2,1,H,11,13,7,5,8,8,17,18,0,3,1,1
2001-04-09,Middlesbrough,Sunderland,0,0,D,0,0,D,12,12,6,4,3,2,22,22,5,3,1,0
2001-04-10,Ipswich,Liverpool,1,1,D,0,0,D,8,7,5,2,6,1,10,15,0,0,0,0
2001-04-10,Man United,Charlton,2,1,H,1,0,H,23,3,8,2,12,4,8,9,1,1,0,0
2001-04-10,Tottenham,Bradford,2,1,H,1,1,D,17,10,13,5,5,7,13,9,1,1,0,0
2001-04-11,Man City,Arsenal,0,4,A,0,4,A,7,15,2,8,7,3,10,8,2,0,0,0
2001-04-13,Bradford,Charlton,2,0,H,0,0,D,4,3,8,8,3,7,13,21,1,3,0,0
2001-04-13,Liverpool,Leeds,1,2,A,0,2,A,11,9,5,3,8,2,19,16,3,1,1,0
2001-04-14,Arsenal,Middlesbrough,0,3,A,0,2,A,17,6,8,2,9,0,13,11,1,1,0,0
2001-04-14,Aston Villa,Everton,2,1,H,1,1,D,8,5,5,3,5,3,13,14,0,3,0,0
2001-04-14,Chelsea,Southampton,1,0,H,1,0,H,14,9,8,5,7,6,11,19,3,3,0,0
2001-04-14,Ipswich,Newcastle,1,0,H,0,0,D,14,6,5,2,9,3,6,13,0,1,0,1
2001-04-14,Leicester,Man City,1,2,A,1,1,D,15,8,9,3,5,1,13,26,2,3,0,0
2001-04-14,Man United,Coventry,4,2,H,2,2,D,28,9,13,4,9,2,9,18,1,4,0,0
2001-04-14,Sunderland,Tottenham,2,3,A,2,0,H,13,8,4,6,3,3,12,15,1,2,0,0
2001-04-14,West Ham,Derby,3,1,H,3,0,H,18,6,10,3,3,5,10,18,0,2,0,0
2001-04-16,Coventry,Sunderland,1,0,H,1,0,H,14,6,9,3,6,3,15,21,3,0,0,0
2001-04-16,Derby,Leicester,2,0,H,1,0,H,10,7,6,4,5,6,17,16,0,0,0,0
2001-04-16,Everton,Liverpool,2,3,A,1,1,D,10,10,7,6,2,5,19,15,4,2,1,0
2001-04-16,Middlesbrough,Ipswich,1,2,A,1,0,H,4,12,1,5,5,4,8,8,0,0,0,0
2001-04-16,Newcastle,West Ham,2,1,H,1,0,H,20,13,14,6,7,5,19,9,0,0,0,0
2001-04-17,Charlton,Aston Villa,3,3,D,2,0,H,12,11,5,8,5,7,10,15,3,4,1,0
2001-04-17,Tottenham,Chelsea,0,3,A,0,1,A,5,16,1,10,2,5,14,11,2,2,1,0
2001-04-21,Arsenal,Everton,4,1,H,1,1,D,10,4,8,2,10,0,7,13,0,2,0,1
2001-04-21,Aston Villa,Southampton,0,0,D,0,0,D,9,3,2,3,4,5,10,15,1,2,0,0
2001-04-21,Bradford,Derby,2,0,H,1,0,H,15,12,9,3,3,8,14,13,0,2,0,1
2001-04-21,Chelsea,Charlton,0,1,A,0,1,A,9,4,1,2,10,3,12,14,3,0,0,0
2001-04-21,Ipswich,Coventry,2,0,H,1,0,H,13,6,5,2,2,3,22,23,1,4,0,0
2001-04-21,Leicester,Middlesbrough,0,3,A,0,1,A,15,15,4,7,12,5,13,11,3,1,0,0
2001-04-21,Man United,Man City,1,1,D,0,0,D,13,6,6,4,3,2,14,20,0,0,1,0
2001-04-21,Sunderland,Newcastle,1,1,D,0,0,D,16,9,10,5,4,8,17,22,5,4,0,0
2001-04-21,West Ham,Leeds,0,2,A,0,1,A,15,12,10,7,6,6,17,13,5,2,0,1
2001-04-22,Liverpool,Tottenham,3,1,H,1,1,D,14,7,8,5,6,4,10,13,1,1,0,0
2001-04-28,Coventry,Liverpool,0,2,A,0,0,D,11,13,4,6,7,7,15,11,3,1,0,0
2001-04-28,Derby,Arsenal,1,2,A,1,1,D,6,14,2,9,4,6,14,13,3,4,0,0
2001-04-28,Everton,Bradford,2,1,H,0,1,A,18,7,9,4,5,2,15,15,1,2,0,0
2001-04-28,Leeds,Chelsea,2,0,H,0,0,D,16,7,9,5,7,2,22,17,2,5,0,0
2001-04-28,Man City,West Ham,1,0,H,1,0,H,16,12,9,7,10,10,19,12,3,5,0,0
2001-04-28,Middlesbrough,Man United,0,2,A,0,1,A,18,9,3,5,4,6,13,21,2,3,0,0
2001-04-28,Newcastle,Leicester,1,0,H,0,0,D,20,4,6,3,12,0,15,14,1,1,0,0
2001-04-28,Southampton,Sunderland,0,1,A,0,0,D,11,6,5,3,11,2,15,14,2,1,0,0
2001-04-28,Tottenham,Aston Villa,0,0,D,0,0,D,7,7,3,4,5,6,13,13,1,0,0,0
2001-04-30,Charlton,Ipswich,2,1,H,1,1,D,10,17,7,6,2,13,17,11,0,1,0,0
2001-05-01,Bradford,Liverpool,0,2,A,0,0,D,15,11,4,10,7,0,11,13,0,2,0,0
2001-05-01,Newcastle,Southampton,1,1,D,1,0,H,7,11,5,3,4,2,15,17,2,1,0,0
2001-05-05,Arsenal,Leeds,2,1,H,1,0,H,7,4,4,3,11,2,21,18,4,3,0,0
2001-05-05,Aston Villa,Coventry,3,2,H,0,2,A,6,6,4,3,6,2,12,23,2,5,0,0
2001-05-05,Bradford,Middlesbrough,1,1,D,1,0,H,10,14,7,9,6,6,25,21,4,2,0,0
2001-05-05,Chelsea,Everton,2,1,H,2,1,H,13,9,5,3,8,6,19,22,1,1,0,0
2001-05-05,Leicester,Tottenham,4,2,H,1,0,H,19,9,9,4,6,2,11,14,3,2,0,0
2001-05-05,Liverpool,Newcastle,3,0,H,1,0,H,12,6,5,3,2,3,11,10,0,2,0,0
2001-05-05,Man United,Derby,0,1,A,0,1,A,11,10,6,5,13,1,13,11,1,0,0,0
2001-05-05,Sunderland,Charlton,3,2,H,2,1,H,17,17,11,7,8,5,17,7,1,0,0,0
2001-05-05,West Ham,Southampton,3,0,H,0,0,D,16,12,12,3,5,1,18,18,2,2,0,0
2001-05-07,Ipswich,Man City,2,1,H,0,0,D,15,11,7,7,9,2,8,19,0,0,0,0
2001-05-08,Liverpool,Chelsea,2,2,D,1,1,D,16,14,8,7,6,6,14,21,1,4,0,0
2001-05-13,Leeds,Bradford,6,1,H,5,1,H,18,13,9,7,9,7,20,13,1,0,0,0
2001-05-13,Southampton,Man United,2,1,H,2,0,H,14,9,3,6,4,4,13,18,1,1,0,0
2001-05-15,Newcastle,Arsenal,0,0,D,0,0,D,12,8,2,1,4,8,14,10,1,0,0,0
2001-05-19,Charlton,Liverpool,0,4,A,0,0,D,12,16,10,14,10,10,7,13,1,1,0,0
2001-05-19,Coventry,Bradford,0,0,D,0,0,D,15,10,7,3,9,3,15,13,1,1,0,0
2001-05-19,Derby,Ipswich,1,1,D,1,0,H,7,13,2,6,3,11,14,15,1,1,0,0
2001-05-19,Everton,Sunderland,2,2,D,1,1,D,18,11,8,4,5,6,12,13,5,3,0,1
2001-05-19,Leeds,Leicester,3,1,H,1,1,D,24,8,11,5,12,5,14,17,3,4,0,0
2001-05-19,Man City,Chelsea,1,2,A,1,1,D,3,9,1,3,8,7,22,18,4,2,0,0
2001-05-19,Middlesbrough,West Ham,2,1,H,2,1,H,19,11,7,5,5,6,13,15,0,0,0,0
2001-05-19,Newcastle,Aston Villa,3,0,H,2,0,H,9,5,5,1,5,1,10,14,0,5,1,1
2001-05-19,Southampton,Arsenal,3,2,H,0,1,A,11,8,7,5,7,5,17,10,1,2,0,0
2001-05-19,Tottenham,Man United,3,1,H,1,1,D,9,15,3,6,3,6,13,15,0,2,0,0
